Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Afghanistan,AFG,30551674,47,0.293,485.1,32.6,97.3,32.9,1.9,68,358,47,0.1,27.8,6.5,6.6,x,2.5,-1.4,8,30.0,,5.5,53.9,29.0,64.2,957
Albania,ALB,2773620,72,0.005,249.1,2.8,14.9,6.3,11.1,99,22,541,,34.5,3.9,0.0,4.2,,-0.3,31,,96.8,54.7,108.4,91.2,95.7,7848
Algeria,DZA,39208194,72,,10.5,0.1,25.2,3.7,12.1,95,152,439,,,1.2,0.0,x,3.6,-0.6,36,99.3,72.6,15.2,103.3,95.2,83.9,7325
Angola,AGO,21471618,53,,22.1,0.2,167.4,15.6,1.7,97,474,212,97.0,42.7,4.7,4.3,8.3,2.9,-1.3,23,40.2,70.4,16.9,48.6,60.1,54.3,5924
Antigua and Barbuda,ATG,89985,77,,197.6,0.2,9.3,,,98,5,1029,,,5.5,3.0,x,2.8,0.5,,,99.0,83.8,198.6,91.4,97.9,17069
Argentina,ARG,41446246,81,0.015,6.4,0.0,13.3,2.3,,94,36,1551,0.0,44.5,1.5,0.0,1.8,3.5,-0.3,34,97.2,97.9,55.8,142.5,97.2,98.7,17660
Armenia,ARM,2976566,73,0.002,222.0,2.6,15.6,5.3,28.5,97,79,299,0.1,31.3,4.0,0.2,4.8,2.0,0.1,36,,99.6,39.2,106.9,90.5,99.8,5392
Australia,AUS,23130900,93,,0.0,0.0,4.0,,38.5,94,9,4068,,,2.4,0.0,1.0,4.1,1.6,81,,,82.3,106.2,100.0,100.0,40847
Austria,AUT,8473786,88,,0.0,0.0,3.9,,48.6,76,11,5065,,29.2,0.0,0.0,1.2,4.2,1.6,69,,,81.0,161.2,100.0,100.0,41556
Azerbaijan,AZE,9416598,75,0.009,67.2,0.5,34.2,8.4,33.8,66,124,572,0.1,33.7,2.5,0.0,x,,-0.5,28,,99.8,54.2,107.5,82.0,80.2,10201
Bahamas,BHS,377374,79,,0.1,0.0,12.9,,28.2,91,11,2377,,,4.7,0.3,x,,0.9,71,,,71.7,72.3,92.0,98.4,30415
Bahrain,BHR,1332171,82,,0.0,0.0,6.1,,14.9,99,29,971,,,2.7,0.0,1.5,3.5,0.6,48,99.4,94.6,88.0,156.2,99.2,100.0,27735
Bangladesh,BGD,156594962,56,0.237,23.8,1.7,41.1,41.3,3.6,96,434,68,3.0,32.1,5.6,3.9,3.2,3.8,-0.8,27,46.5,57.7,6.3,63.8,57.0,84.8,1909
Barbados,BRB,284644,78,,-347.8,0.0,14.4,,18.1,90,2,1307,,,3.6,0.0,x,3.9,1.3,75,,,73.3,126.4,91.6,99.8,24989
Belarus,BLR,9466000,79,0.001,24.2,0.2,4.9,1.3,37.6,98,108,790,,26.5,2.7,0.0,x,3.9,-0.9,29,,99.6,46.9,112.1,94.3,99.6,15028
Belgium,BEL,11195138,88,,0.0,0.0,4.4,,37.8,96,13,4320,,33.0,0.0,0.0,0.8,,1.6,75,,,82.0,119.4,100.0,100.0,37781
Belize,BLZ,331900,73,0.030,161.3,1.7,16.7,4.9,8.3,96,51,458,0.1,,3.7,0.5,x,,-0.2,,,,25.0,50.6,90.5,99.3,8219
Benin,BEN,10323474,48,0.401,115.1,6.8,85.3,20.2,0.6,72,110,70,113.0,38.6,3.2,1.6,7.2,2.8,-0.6,36,27.9,28.7,3.8,89.9,14.3,76.1,1620
Bhutan,BTN,753947,58,0.128,406.1,9.1,36.2,12.7,0.7,95,225,253,0.1,38.7,4.4,2.7,5.3,3.2,0.4,63,,52.8,25.4,74.7,46.9,98.1,5836
Bolivia,BOL,10671200,67,0.097,130.0,2.6,39.1,4.5,,84,215,305,0.1,56.3,6.0,4.8,2.3,2.8,-0.4,34,80.2,91.2,34.2,92.6,46.4,88.1,4793
Bosnia and Herzegovina,BIH,3829307,73,0.006,317.7,3.4,6.6,1.5,16.9,94,73,928,,36.2,3.5,0.0,x,,-0.5,42,,98.0,65.4,89.5,95.4,99.6,8115
Botswana,BWA,2021144,68,,96.2,0.5,46.6,11.2,3.4,94,343,872,3.0,,7.1,7.2,5.2,2.8,0.3,64,45.4,85.1,11.5,150.1,64.3,96.8,16105
Brazil,BRA,200361925,74,0.012,10.6,0.1,13.7,2.2,17.6,99,59,1109,0.1,54.7,2.1,0.0,2.2,3.3,-0.1,42,98.7,90.4,49.8,125.2,81.3,97.5,11769
Brunei Darussalam,BRN,417784,85,,0.0,0.0,9.9,,13.6,99,90,1218,,,3.1,0.0,3.4,2.6,0.9,60,99.7,95.4,60.3,113.8,,,49536
Bulgaria,BGR,7265115,78,,0.2,0.0,11.6,1.6,37.6,94,43,1177,,28.2,4.5,0.0,3.4,3.7,0.2,41,,98.4,55.1,145.7,100.0,99.5,13789
Burkina Faso,BFA,16934839,39,0.508,145.2,10.8,97.6,26.0,0.5,87,82,90,163.0,39.8,3.3,5.2,6.5,3.7,-0.6,38,14.6,28.7,3.7,57.1,18.6,81.7,1302
Burundi,BDI,10162532,39,0.442,113.6,21.2,82.9,35.2,,93,199,45,73.0,33.3,9.9,10.0,x,3.2,-1.1,21,,86.9,1.2,25.7,47.5,75.3,605
Cabo Verde,CPV,498897,64,,999.5,14.3,26.0,,3.0,96,237,166,0.1,50.5,4.4,1.6,2.5,3.7,0.1,58,,84.9,34.7,84.2,64.9,89.3,3947
Cambodia,KHM,15135169,58,0.211,108.4,6.0,37.9,29.0,2.3,93,764,135,4.0,37.9,5.3,3.7,4.9,2.3,-0.9,20,31.1,73.9,4.9,132.0,36.8,71.3,2239
Cameroon,CMR,22253959,50,0.260,58.6,2.3,94.5,16.6,0.8,82,319,120,103.0,38.9,4.4,1.8,x,4.0,-0.9,25,48.7,71.3,5.7,64.0,45.2,74.1,2259
Canada,CAN,35158304,90,,0.0,0.0,5.2,,20.7,98,6,4676,,32.6,0.5,0.0,1.7,3.9,1.8,81,,,86.8,75.7,99.8,99.8,40519
Central African Republic,CAF,4616417,34,0.424,254.5,10.5,139.2,28.0,0.5,49,520,32,98.0,56.3,7.7,10.0,x,,-1.8,25,,56.6,3.0,23.4,21.5,68.2,767
Chad,TCD,12825314,37,,150.8,3.9,147.5,33.9,0.4,64,221,42,181.0,39.8,6.1,9.9,x,,-1.5,19,,35.4,2.1,35.5,11.9,50.7,1867
Chile,CHL,17619708,82,,16.4,0.0,8.2,0.5,10.3,90,21,1606,,52.1,3.6,0.0,3.7,3.7,1.2,71,99.4,98.6,61.4,138.5,98.9,98.8,17361
China,CHN,1357380000,72,0.026,-0.6,0.0,12.7,3.4,14.6,99,99,480,0.1,42.1,3.1,1.9,6.0,4.0,0.0,40,99.7,95.1,42.3,81.3,65.3,91.9,8387
Colombia,COL,48321405,71,0.032,40.6,0.2,16.9,3.4,14.7,94,48,723,0.1,55.9,4.1,2.1,3.7,3.8,0.0,36,97.4,93.6,49.0,103.2,80.2,91.2,10247
Comoros,COM,734917,49,,173.3,11.5,77.9,,,85,62,56,98.0,64.3,9.6,0.0,x,1.9,-1.4,28,,75.5,6.0,32.3,35.4,95.1,1232
Congo,COG,4447632,56,0.192,95.6,1.3,49.1,11.8,1.0,80,530,140,120.0,47.3,6.8,8.8,8.2,,-1.2,22,37.1,,6.1,101.2,14.6,75.3,4543
Congo DR,COD,67513677,34,0.399,72.3,11.1,118.5,28.2,,73,576,24,156.0,44.4,7.7,10.0,x,2.0,-1.6,22,15.2,61.2,1.7,28.0,31.4,46.5,349
Costa Rica,CRI,4872166,76,,14.9,0.1,9.6,1.1,,90,12,1311,0.0,50.7,4.7,0.3,x,4.4,0.5,53,99.2,96.3,47.5,128.3,93.9,96.6,11923
